year,fips,estabs,emp,tot_wages,avg_annual_pay
1983,17159,426,4874,97887362,20084
1983,17161,2756,53685,1031622707,19216
1983,17163,3661,50931,799860650,15705
1983,17165,517,5882,92859448,15787
1983,17167,3299,54055,828213050,15322
1983,17169,141,1100,16202500,14730
1983,17171,102,950,17990040,18937
1983,17173,332,2424,28536383,11772
1983,17175,128,1629,28360000,17409
1983,17177,826,16309,267936738,16429
1983,17179,1743,33230,747063980,22482
1983,17181,274,2467,31463945,12754
1983,17183,1557,25407,436484536,17180
1983,17185,324,4668,83874988,17968
1983,17187,387,4458,60386839,13546
1983,17189,255,2064,25179347,12199
1983,17191,383,4008,59856935,14934
1983,17193,436,3486,48422875,13891
1983,17195,960,14075,234790042,16681
1983,17197,3863,59281,1042709300,17589
1983,17199,907,11728,185063879,15780
1983,17201,4655,88295,1556254748,17626
1983,17203,424,3936,54601425,13872
1983,18001,546,8752,137671643,15730
1983,18003,5518,113024,1972925602,17456
1983,18005,1179,24560,513392299,20904
1983,18007,207,1581,19237646,12168
1983,18009,251,3560,52921848,14866
1983,18011,724,6804,89149311,13102
1983,18013,183,1040,8095540,7784
1983,18015,311,3280,40567278,12368
1983,18017,754,9855,145309425,14745
1983,18019,1491,23116,369632107,15990
1983,18021,389,3564,51483979,14446
1983,18023,522,6866,95887644,13966
1983,18025,111,805,8417973,10457
1983,18027,520,5162,62187613,12047
1983,18029,523,6603,115750043,17530
1983,18031,421,5295,81550133,15401
1983,18033,574,9000,137322040,15258
1983,18035,2110,33549,560970490,16721
1983,18037,807,14883,219540227,14751
1983,18039,3258,70870,1183194124,16695
1983,18041,405,9107,174062443,19113
1983,18043,1034,11923,163539145,13716
1983,18045,326,3358,39117584,11649
1983,18047,217,1624,18796867,11574
1983,18049,382,4638,61432030,13245
1983,18051,593,7452,115416008,15488
1983,18053,1318,24089,449653368,18666
1983,18055,496,4114,51308977,12472
1983,18057,1751,19058,306063857,16060
1983,18059,620,5982,91774715,15342
1983,18061,360,3561,41391683,11624
1983,18063,905,8697,124193249,14280
1983,18065,761,8286,127333495,15367
1983,18067,1429,32050,713060686,22248
1983,18069,603,9096,120493645,13247
1983,18071,657,9980,133838467,13411
1983,18073,461,5773,91730694,15890
1983,18075,350,5080,74458939,14657
1983,18077,542,10322,202348148,19604
1983,18079,223,2766,38311679,13851
1983,18081,1194,15330,194853487,12711
1983,18083,917,10058,143135173,14231
1983,18085,1181,19339,320673495,16582
1983,18087,355,6203,88794949,14315
1983,18089,7638,153059,3082529005,20139
1983,18091,1882,29637,473975465,15993
1983,18093,608,8300,143454967,17284
1983,18095,2162,37561,737756837,19642
1983,18097,15777,336715,6234132554,18515
1983,18099,830,11275,154333012,13688
1983,18101,182,1710,23543221,13768
1983,18103,515,5757,77468587,13456
1983,18105,1678,26727,372744742,13946
1983,18107,673,10144,167223338,16485
1983,18109,629,6726,83068561,12350
1983,18111,238,2628,32042822,12193
1983,18113,614,9519,134262927,14105
1983,18115,55,304,2669192,8780
1983,18117,294,4273,49386455,11558
1983,18119,152,1117,11523004,10316
1983,18121,244,1759,19376378,11016
1983,18123,335,3976,52170099,13121
1983,18125,180,2570,58169006,22634
1983,18127,1703,28676,548785140,19137
1983,18129,450,5542,112537816,20306
1983,18131,248,2247,32604000,14510
1983,18133,475,5491,82807716,15081
1983,18135,530,6846,111649083,16309
1983,18137,429,6581,108194831,16440
1983,18139,314,3034,40989536,13510
1983,18141,4653,81554,1346206414,16507
1983,18143,263,3021,39023184,12917
1983,18145,659,8847,123947274,14010
1983,18147,308,3816,59811417,15674
1983,18149,270,2231,25186305,11289
1983,18151,521,6316,92432431,14635
1983,18153,311,3232,59618375,18446
1983,18155,71,939,9280849,9884
1983,18157,2021,35731,557299654,15597
1983,18159,294,2517,35181747,13978
1983,18161,121,671,7342000,10942
1983,18163,3831,70535,1138340632,16139
1983,18165,215,3544,73730820,20804
1983,18167,2056,34303,534635238,15586
1983,18169,672,10462,156748752,14983
1983,18171,98,1217,18771688,15425
1983,18173,604,9795,247316337,25249
1983,18175,295,3112,37734304,12125
1983,18177,1353,23456,363790784,15509
1983,18179,413,5927,92899570,15674
1983,18181,502,5550,75849390,13667
1983,18183,443,5642,83654019,14827
1983,19001,247,1586,16764890,10571
1983,19003,143,1043,11468415,10996
1983,19005,384,3139,32819590,10455
1983,19007,354,2690,34276784,12742
1983,19009,238,1337,13370989,10001
1983,19011,525,3017,34945021,11583
1983,19013,3030,46007,841710996,18295
1983,19015,599,4706,59540563,12652
1983,19017,577,5323,71581397,13448
