fips,year,new_fips
29115,1983,29115
29117,1983,29117
29119,1983,29119
29121,1983,29121
29123,1983,29123
29125,1983,29125
29127,1983,29127
29129,1983,29129
29131,1983,29131
29133,1983,29133
29135,1983,29135
29137,1983,29137
29139,1983,29139
29141,1983,29141
29143,1983,29143
29145,1983,29145
29147,1983,29147
29149,1983,29149
29151,1983,29151
29153,1983,29153
29155,1983,29155
29157,1983,29157
29159,1983,29159
29161,1983,29161
29163,1983,29163
29165,1983,29165
29167,1983,29167
29169,1983,29169
29171,1983,29171
29173,1983,29173
29175,1983,29175
29177,1983,29177
29179,1983,29179
29181,1983,29181
29183,1983,29183
29185,1983,29185
29186,1983,29186
29187,1983,29187
29189,1983,29189
29195,1983,29195
29197,1983,29197
29199,1983,29199
29201,1983,29201
